SPR_f_OASIS,'-3036702076452268776,1040247
SPR_f_NEFERTITI,'-3037092080463793964,1040199
SPR_f_NAOMI,'-3034002962692380603,1040166
SPR_f_NAOMI,'-3034002904514238094,1040166
SPR_f_NAOMI,'-3034003035415526425,1040166
SPR_f_MONTEREY,'-3034003157777011445,1040118
SPR_f_MONTEREY,'-3034003098773208011,1040118
SPR_f_MONTEREY,'-3034002891443000219,1040118
SPR_f_MONTEREY,'-3034002846315203440,1040118
SPR_f_MONICA,'-3034003073988218732,1040093
SPR_f_MONICA,'-3034003131878104061,1040093
SPR_f_MIRTH,'-3034041302017722382,1040080
SPR_f_MIRAGE,'-3036801367351023369,1040047
SPR_f_MINKA,'-3037051740634909883,1040038
SPR_f_MINKA,'-3037051864756231188,1040038
SPR_f_MINKA,'-3037051677097969131,1040038
SPR_f_MINKA,'-3037051802612817555,1040038
SPR_f_MILAN,'-3036801265003366803,1040005
SPR_f_MILAN,'-3036801407820904042,1040005
SPR_f_MARSI,'-3034003027976725999,1039863
SPR_f_MARSI,'-3034003328471375647,1039863
SPR_f_MARSI,'-3034002957901102210,1039863
SPR_f_MARSI,'-3034003262695012644,1039863
SPR_f_MARSI,'-3034003090468641913,1039863
SPR_f_MARINA,'-3034003051623311082,1039825
SPR_f_MARINA,'-3034003313041805286,1039825
SPR_f_MARINA,'-3034003371391794244,1039825
SPR_f_MARIGOLD,'-3037091955772848635,1039800
SPR_f_MARIGOLD,'-3037091913572965483,1039800
SPR_f_MARIETTA,'-3036801338691854288,1039775
SPR_f_MARIETTA,'-3036801258438570066,1039775
SPR_f_MARIETTA,'-3036801102683250607,1039775
SPR_f_MARENGO,'-3036801416554185127,1039742
SPR_f_MAIDEN,'-3034005327495782523,1039651
SPR_f_MAIDEN,'-3034005382806727609,1039651
SPR_f_MAIDEN,'-3034005320681519741,1039651
SPR_f_LYRIC,'-3034041394006638929,1039627
SPR_f_LUMINOUS,'-3037074412970355596,1039606
SPR_f_LUMINOUS,'-3037074457382528203,1039606
SPR_f_LUCERNE,'-3037075076393505063,1039558
SPR_f_LUCERNE,'-3037075062848118581,1039558
SPR_f_LUCERNE,'-3037074504845174626,1039558
